Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-11-12,Jigarthanda,2014,https://boxd.it/3q5QWp,,,,2014-08-06
2022-11-12,Hercules,2014,https://boxd.it/3q5Qsp,,,theater,2014-08-14
2022-11-12,Anjaan,2014,https://boxd.it/3q5Rtt,,,,2014-08-16
2022-11-12,Interstellar,2014,https://boxd.it/3q5RVx,,,,2014-11-07
2022-11-12,Furious 7,2015,https://boxd.it/3q5SlF,,,theater,2015-04-02
2022-11-12,India Pakistan,2015,https://boxd.it/3q5SI5,,,,2015-05-20
2022-11-12,Massu Engira Maasilamani,2015,https://boxd.it/3q5T1h,,,theater,2015-06-03
2022-11-12,Bhooloham,2015,https://boxd.it/3q5TlL,,,,2015-12-27
2022-11-12,Iraivi,2016,https://boxd.it/3q5TFB,,,theater,2016-06-06
2022-11-12,Kaashmora,2016,https://boxd.it/3q5U4L,,,theater,2016-11-03
2022-11-12,Achcham Yenbadhu Madamaiyada,2016,https://boxd.it/3q5K6d,,,"theater, rajendra",2016-11-11
2022-11-12,The Fate of the Furious,2017,https://boxd.it/3q5V93,,,theater,2017-04-13
2022-11-12,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/3q5VKj,,,theater,2017-06-18
2022-11-12,Dunkirk,2017,https://boxd.it/3q5W31,,,theater,2017-08-06
2022-11-12,Black Panther,2018,https://boxd.it/3q5Wn1,,,theater,2018-02-27
2022-11-12,Aquaman,2018,https://boxd.it/3q5WFT,,,theater,2018-12-30
2022-07-25,Godzilla vs. Kong,2021,https://boxd.it/33rmIT,,,,2021-03-24
2022-07-25,Jagame Thandhiram,2021,https://boxd.it/33rmFZ,,,,2021-06-24
2022-07-25,Wrath of Man,2021,https://boxd.it/33rmGX,,,,2021-06-24
2022-07-25,Mandela,2021,https://boxd.it/33rmGj,,,,2021-06-25
2022-07-25,Karnan,2021,https://boxd.it/33rmFF,,,,2021-06-26
2022-07-25,Eeswaran,2021,https://boxd.it/33rmGt,,,,2021-06-27
2022-07-25,Sivalinga,2017,https://boxd.it/33rmGD,,,,2021-06-28
2022-07-25,M.S. Dhoni: The Untold Story,2016,https://boxd.it/33rmGN,,,,2021-06-30
2022-07-25,Black Widow,2021,https://boxd.it/33rmH7,,,,2021-07-16
2022-07-25,The Tomorrow War,2021,https://boxd.it/33rmHh,,,,2021-07-19
2022-07-25,Sarpatta Parambarai,2021,https://boxd.it/33rmHr,,,,2021-07-29
2022-07-25,F9,2021,https://boxd.it/33rmHB,,,,2021-08-04
2022-07-25,The Suicide Squad,2021,https://boxd.it/33rmHL,,,,2021-08-06
2022-07-25,Skylines,2020,https://boxd.it/33rmHV,,,,2021-08-28
2022-07-25,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/33rmI5,,,,2021-09-03
2022-07-25,Kasada Thapara,2021,https://boxd.it/33rmIf,,,,2021-09-06
