Date,Name,Year,Letterboxd URI
2022-08-28,Soorarai Pottru,2020,https://boxd.it/lWrq
2022-09-10,Super Deluxe,2019,https://boxd.it/fjRW
2022-09-10,Soodhu Kavvum,2013,https://boxd.it/5IRi
2022-10-19,Serenity,2005,https://boxd.it/1Km4
2022-10-19,M*A*S*H,1970,https://boxd.it/29U6
2022-10-19,The Gray Man,2022,https://boxd.it/rb7q
2022-10-19,Vikram,2022,https://boxd.it/rUJa
2022-11-08,Love Today,2022,https://boxd.it/D3KI
2022-12-27,Anger Management,2003,https://boxd.it/1YvO
2022-12-27,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2023-02-07,Iraivi,2016,https://boxd.it/cNg6
2023-02-07,Jigarthanda,2014,https://boxd.it/88Je
2023-02-19,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y
2023-07-23,Oppenheimer,2023,https://boxd.it/wUow
2023-08-03,DD Returns,2023,https://boxd.it/HEFy
2023-12-10,Aalavandhan,2001,https://boxd.it/8sm
