Date,Name,Year,Letterboxd URI,Rating
2022-11-26,Ponniyin Selvan: Part I,2022,https://boxd.it/oz24,2
2022-11-26,Serenity,2005,https://boxd.it/1Km4,5
2023-01-07,Gatta Kusthi,2022,https://boxd.it/AdFW,3
2023-01-07,Anger Management,2003,https://boxd.it/1YvO,3.5
2023-01-07,The Roundup,2022,https://boxd.it/mVnO,3.5
2023-01-07,Nobody,2021,https://boxd.it/mLqS,3.5
2023-01-07,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,2
2023-01-07,Love Today,2022,https://boxd.it/D3KI,3.5
2023-01-07,Prince,2022,https://boxd.it/yLcq,1.5
2023-02-13,Varisu,2023,https://boxd.it/vuNo,1
2023-08-03,DD Returns,2023,https://boxd.it/HEFy,4.5
2023-10-21,"August 16, 1947",2023,https://boxd.it/B1jm,2
2023-10-21,50 First Dates,2004,https://boxd.it/285c,3.5
2023-10-21,Subramaniapuram,2008,https://boxd.it/2EKm,4
2023-10-28,Chandramukhi 2,2023,https://boxd.it/Bjwo,1
2023-11-06,Pachuvum Athbhuthavilakkum,2023,https://boxd.it/uLqO,4
2023-12-10,Aalavandhan,2001,https://boxd.it/8sm,5
